OccID	OccNo	OccDate	OccTime	AirportID_CountryID_DisplayEng	AirportID_CountryID	Airport_ProvinceID	AirportID_ProvinceID_DisplayEng	AirportID_AirportName	AirportID	Location	ICAOCategoryID	ICAO_DisplayEng	OccIncidentTypeID	OccIncidentTypeID_DisplayEng
159500	A22O0022	2022-02-18	17:00:00	CANADA	2	336	ONTARIO	MacDonald-Cartier Intl	1289	Ottawa	29	SYSTEM/COMPONENT FAILURE OR MALFUNCTION (POWERPLANT) (SCF–PP)	1	ENGINE (i)
159486	A25Q0017	2025-02-11	13:07:00	CANADA	2	4	QUEBEC	Gaspé (Michel-Pouliot)	626	GASPÉ	28	SYSTEM/COMPONENT FAILURE OR MALFUNCTION (NON-POWERPLANT) (SCF–NP)	11	EMERGENCY/PRIORITY (xi)
159480	A25A0012	2025-02-12	10:51:00	CANADA	2	7	NOVA SCOTIA	Stanfield Intl	716	Halifax	4	AIRPROX/TCAS ALERT/LOSS OF SEPARATION/NEAR MIDAIR COLLISIONS/MIDAIR COLLISIONS (MAC)	16	LOSS OF SEPARATION (x)
159474	A25A0011	2025-02-07	18:46:00	CANADA	2	7	NOVA SCOTIA	Stanfield Intl	716	Halifax	19	LOSS OF CONTROL–GROUND (LOC–G)	3	DIFFICULT TO CONTROL (iv)
159471	A25W0016	2025-02-09	14:20:00	CANADA	2	11	ALBERTA	LACOMBE	975	LACOMBE	25	RUNWAY EXCURSION (RE)	19	UNKNOWN
159454	A25W0013	2025-02-05	10:40:00	CANADA	2	11	ALBERTA	Edmonton Intl	471	Edmonton	14	FUEL RELATED (FUEL)	11	EMERGENCY/PRIORITY (xi)
159437	A25C0010	2025-01-22	16:10:00	CANADA	2	9	MANITOBA	James Armstrong Richardson Intl	2001	Winnipeg	12	FIRE/SMOKE (NON-IMPACT) (F–NI)	2	SMOKE OR FIRE (iii)
159433	A25P0012	2025-01-30	07:45:00	CANADA	2	12	BRITISH COLUMBIA	Vancouver Intl	1912	Vancouver	23	MEDICAL (MED)	5	UNABLE TO PERFORM (vi)
159422	A25C0008	2025-01-26	19:59:00	CANADA	2	10	SASKATCHEWAN	SWIFT CURRENT	1780	SWIFT CURRENT	1	ABNORMAL RUNWAY CONTACT (ARC)	19	UNKNOWN
159414	A25C0006	2025-01-24	21:42:00	CANADA	2	10	SASKATCHEWAN	John G. Diefenbaker Intl	1557	Saskatoon	26	RUNWAY INCURSION (RI)	15	RISK OF COLLISION (x)
159405	A25P0009	2025-01-15	18:20:00	CANADA	2	12	BRITISH COLUMBIA	TERRACE	1808	TERRACE	30	TURBULENCE ENCOUNTER (TURB)	3	DIFFICULT TO CONTROL (iv)
159395	A24P0162	2024-12-13	19:45:00	CANADA	2	12	BRITISH COLUMBIA	KELOWNA	869	KELOWNA	16	GROUND COLLISION (GCOL)	14	COLLISION (x)
159395	A24P0162	2024-12-13	19:45:00	CANADA	2	12	BRITISH COLUMBIA	KELOWNA	869	KELOWNA	17	GROUND HANDLING (RAMP)	14	COLLISION (x)
159384	A25A0005	2025-01-15	10:15:00	CANADA	2	6	NEWFOUNDLAND AND LABRADOR	GOOSE BAY	664	GOOSE BAY	11	EXTERNAL LOAD RELATED OCCURRENCES (EXTL)	10	SLUNG LOAD RELEASED (xii)
159348	A24C0137	2024-12-28	15:25:00	CANADA	2	336	ONTARIO	SIOUX LOOKOUT	1621	SIOUX LOOKOUT	35	OTHER (OTHR)	11	EMERGENCY/PRIORITY (xi)
159326	A24P0160	2024-11-17	10:35:00	CANADA	2	12	BRITISH COLUMBIA	Gold River (49 North Heli) Heliport	5323	Gold River	8	COLLISION WITH OBSTACLE(S) DURING TAKEOFF AND LANDING (CTOL)	14	COLLISION (x)
